u,v,key,max_depth,is_flooded
5594121717,5594121707,0,0.10057836025953293,0
5594121655,5594121707,0,0.010826317593455315,0
8478213910,8478213953,0,0.0339169055223465,0
8478213910,320542212,0,0.015676846727728844,0
8478213910,8478197407,0,0.019469624385237694,0
8478213910,8478213952,0,0.011553472839295864,0
8486039945,8485085884,0,0.07113783061504364,0
8486039945,5327469094,0,0.01374993659555912,0
8486039945,8485966905,0,0.014502828009426594,0
8485966905,8486039945,0,0.014502828009426594,0
8485966905,5327469094,0,0.009223423898220062,0
8485966905,5327432252,0,0.009742213413119316,0
5327469094,8486039945,0,0.01374993659555912,0
5327469094,5594204304,0,0.026021799072623253,0
5327469094,8485966905,0,0.009223423898220062,0
5327432252,8478686410,0,0.010135689750313759,0
5327432252,8478213692,0,0.011661900207400322,0
5327432252,8485966905,0,0.009742213413119316,0
11919667187,2291112056,0,0.02481892518699169,0
11919667187,8860456320,0,0.06258485466241837,0
11919667187,8860456321,0,0.07835086435079575,0
910330180,2331030466,0,0.02810736931860447,0
910330180,9072197618,0,0.0192115381360054,0
12017183246,12609285931,0,0.09337722510099411,0
12017183246,12017183265,0,0.1383439004421234,0
13234281399,2291112031,0,0.08948267996311188,0
316782510,6028298637,0,0.3747790455818176,1
6028298637,8573548351,0,0.41618937253952026,1
6028298637,320582873,0,0.3427715301513672,1
316784297,6028298657,0,0.15054233372211456,0
6028298657,320582872,0,0.2292148470878601,0
6028298657,6028298646,0,0.1836445927619934,0
316786700,1906053701,0,0.050428375601768494,0
316786700,316786708,0,0.07967744022607803,0
1906053701,1906053705,0,0.07792249321937561,0
1906053701,1906053732,0,0.10060179233551025,0
316786708,3743898508,0,0.1333794742822647,0
3743898508,8649916215,0,0.14128920435905457,0
3743898508,8649916717,0,0.1259773075580597,0
316787291,1906053713,0,0.16416233777999878,0
316787291,318001670,0,0.10911118239164352,0
1906053713,1906053711,0,0.12034883350133896,0
318001670,320542212,0,0.022422483190894127,0
316920585,6028112400,0,0.17574428021907806,0
316921715,8629185978,0,0.1728184074163437,0
316921715,6028109531,0,0.15959376096725464,0
8629185978,8628911246,0,0.17040200531482697,0
6028109531,8629185978,0,0.15305645763874054,0
6028109531,8629185985,0,0.12319722026586533,0
317039442,8646839362,0,0.0507386177778244,0
8646839362,8647690707,0,0.11978353559970856,0
8646839362,5456734435,0,0.13146430253982544,0
317043861,319840730,0,0.18043147027492523,0
317043861,3739930129,0,0.27366816997528076,0
317043861,317063184,0,0.17203034460544586,0
319840730,319840439,0,0.09361185878515244,0
319840730,317043861,0,0.18043147027492523,0
319840730,319840658,0,0.20594750344753265,0
3739930129,318134755,0,0.30205100774765015,1
3739930129,317043861,0,0.27366816997528076,0
317063184,319840658,0,0.19754639267921448,0
317063184,317043861,0,0.17203034460544586,0
317063184,320770505,0,0.20383791625499725,0
317058899,8650531716,0,0.2271604686975479,0
